udaj,kod,url,budid,idob
V Registru sčítacích obvodů a budov:,1000155285,buddet.jsp?budid=219826&idob=1000155285&b=0,219826,1000155285
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219826&idob=1000155285&b=0,219826,1000155285
V Informačním systému katastru nemovitostí:,892634101,buddet.jsp?budid=219826&idob=1000155285&b=0,219826,1000155285
V informačním systému základního registru RÚIAN:,21779031,buddet.jsp?budid=219826&idob=1000155285&b=0,219826,1000155285
V Registru sčítacích obvodů a budov:,1000155471,buddet.jsp?budid=219839&idob=1000155471&b=0,219839,1000155471
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219839&idob=1000155471&b=0,219839,1000155471
V Informačním systému katastru nemovitostí:,892649101,buddet.jsp?budid=219839&idob=1000155471&b=0,219839,1000155471
V informačním systému základního registru RÚIAN:,21779236,buddet.jsp?budid=219839&idob=1000155471&b=0,219839,1000155471
V Registru sčítacích obvodů a budov:,1000157679,buddet.jsp?budid=220034&idob=1000157679&b=0,220034,1000157679
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220034&idob=1000157679&b=0,220034,1000157679
V Informačním systému katastru nemovitostí:,893036101,buddet.jsp?budid=220034&idob=1000157679&b=0,220034,1000157679
V informačním systému základního registru RÚIAN:,21781443,buddet.jsp?budid=220034&idob=1000157679&b=0,220034,1000157679
V Registru sčítacích obvodů a budov:,1000159663,buddet.jsp?budid=220207&idob=1000159663&b=0,220207,1000159663
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220207&idob=1000159663&b=0,220207,1000159663
V Informačním systému katastru nemovitostí:,892398101,buddet.jsp?budid=220207&idob=1000159663&b=0,220207,1000159663
V informačním systému základního registru RÚIAN:,21783438,buddet.jsp?budid=220207&idob=1000159663&b=0,220207,1000159663
V Registru sčítacích obvodů a budov:,1000160467,buddet.jsp?budid=220275&idob=1000160467&b=0,220275,1000160467
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220275&idob=1000160467&b=0,220275,1000160467
V Informačním systému katastru nemovitostí:,892024101,buddet.jsp?budid=220275&idob=1000160467&b=0,220275,1000160467
V informačním systému základního registru RÚIAN:,21784230,buddet.jsp?budid=220275&idob=1000160467&b=0,220275,1000160467
V Registru sčítacích obvodů a budov:,1000164977,buddet.jsp?budid=220675&idob=1000164977&b=0,220675,1000164977
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220675&idob=1000164977&b=0,220675,1000164977
V Informačním systému katastru nemovitostí:,893113101,buddet.jsp?budid=220675&idob=1000164977&b=0,220675,1000164977
V informačním systému základního registru RÚIAN:,21788731,buddet.jsp?budid=220675&idob=1000164977&b=0,220675,1000164977
V Registru sčítacích obvodů a budov:,1000157865,buddet.jsp?budid=220051&idob=1000157865&b=0,220051,1000157865
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220051&idob=1000157865&b=0,220051,1000157865
V Informačním systému katastru nemovitostí:,893143101,buddet.jsp?budid=220051&idob=1000157865&b=0,220051,1000157865
V informačním systému základního registru RÚIAN:,21781630,buddet.jsp?budid=220051&idob=1000157865&b=0,220051,1000157865
V Registru sčítacích obvodů a budov:,1000159931,buddet.jsp?budid=220232&idob=1000159931&b=0,220232,1000159931
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220232&idob=1000159931&b=0,220232,1000159931
V Informačním systému katastru nemovitostí:,892867101,buddet.jsp?budid=220232&idob=1000159931&b=0,220232,1000159931
V informačním systému základního registru RÚIAN:,21783705,buddet.jsp?budid=220232&idob=1000159931&b=0,220232,1000159931
V Registru sčítacích obvodů a budov:,1000160149,buddet.jsp?budid=220250&idob=1000160149&b=0,220250,1000160149
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220250&idob=1000160149&b=0,220250,1000160149
V Informačním systému katastru nemovitostí:,891661101,buddet.jsp?budid=220250&idob=1000160149&b=0,220250,1000160149
V informačním systému základního registru RÚIAN:,21783918,buddet.jsp?budid=220250&idob=1000160149&b=0,220250,1000160149
V Registru sčítacích obvodů a budov:,1000160327,buddet.jsp?budid=220266&idob=1000160327&b=0,220266,1000160327
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220266&idob=1000160327&b=0,220266,1000160327
V Informačním systému katastru nemovitostí:,893067101,buddet.jsp?budid=220266&idob=1000160327&b=0,220266,1000160327
V informačním systému základního registru RÚIAN:,21784094,buddet.jsp?budid=220266&idob=1000160327&b=0,220266,1000160327
V Registru sčítacích obvodů a budov:,1000161072,buddet.jsp?budid=220331&idob=1000161072&b=0,220331,1000161072
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220331&idob=1000161072&b=0,220331,1000161072
V Informačním systému katastru nemovitostí:,892483101,buddet.jsp?budid=220331&idob=1000161072&b=0,220331,1000161072
V informačním systému základního registru RÚIAN:,21784833,buddet.jsp?budid=220331&idob=1000161072&b=0,220331,1000161072
V Registru sčítacích obvodů a budov:,1000161111,buddet.jsp?budid=220335&idob=1000161111&b=0,220335,1000161111
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220335&idob=1000161111&b=0,220335,1000161111
V Informačním systému katastru nemovitostí:,892297101,buddet.jsp?budid=220335&idob=1000161111&b=0,220335,1000161111
V informačním systému základního registru RÚIAN:,21784876,buddet.jsp?budid=220335&idob=1000161111&b=0,220335,1000161111
V Registru sčítacích obvodů a budov:,1000161129,buddet.jsp?budid=220336&idob=1000161129&b=0,220336,1000161129
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220336&idob=1000161129&b=0,220336,1000161129
V Informačním systému katastru nemovitostí:,892588101,buddet.jsp?budid=220336&idob=1000161129&b=0,220336,1000161129
V informačním systému základního registru RÚIAN:,21784884,buddet.jsp?budid=220336&idob=1000161129&b=0,220336,1000161129
V Registru sčítacích obvodů a budov:,1000164373,buddet.jsp?budid=220619&idob=1000164373&b=0,220619,1000164373
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220619&idob=1000164373&b=0,220619,1000164373
V Informačním systému katastru nemovitostí:,893546101,buddet.jsp?budid=220619&idob=1000164373&b=0,220619,1000164373
V informačním systému základního registru RÚIAN:,21788138,buddet.jsp?budid=220619&idob=1000164373&b=0,220619,1000164373
V Registru sčítacích obvodů a budov:,1000153983,buddet.jsp?budid=219706&idob=1000153983&b=0,219706,1000153983
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219706&idob=1000153983&b=0,219706,1000153983
V Informačním systému katastru nemovitostí:,891801101,buddet.jsp?budid=219706&idob=1000153983&b=0,219706,1000153983
V informačním systému základního registru RÚIAN:,21777730,buddet.jsp?budid=219706&idob=1000153983&b=0,219706,1000153983
V Registru sčítacích obvodů a budov:,1000154327,buddet.jsp?budid=684492&idob=1000154327&b=0,684492,1000154327
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=684492&idob=1000154327&b=0,684492,1000154327
V Informačním systému katastru nemovitostí:,892545101,buddet.jsp?budid=684492&idob=1000154327&b=0,684492,1000154327
V informačním systému základního registru RÚIAN:,21778078,buddet.jsp?budid=684492&idob=1000154327&b=0,684492,1000154327
V Registru sčítacích obvodů a budov:,1000158314,buddet.jsp?budid=220088&idob=1000158314&b=0,220088,1000158314
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220088&idob=1000158314&b=0,220088,1000158314
V Informačním systému katastru nemovitostí:,893606101,buddet.jsp?budid=220088&idob=1000158314&b=0,220088,1000158314
V informačním systému základního registru RÚIAN:,21782075,buddet.jsp?budid=220088&idob=1000158314&b=0,220088,1000158314
V Registru sčítacích obvodů a budov:,1000158659,buddet.jsp?budid=684541&idob=1000158659&b=0,684541,1000158659
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=684541&idob=1000158659&b=0,684541,1000158659
