udaj,kod,text,idob,budid
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158047,685154
PSČ a adresní pošta,14000,Praha 4,1000158047,685154
Ulice,444570,Marie Cibulkové,1000158047,685154
Číslo domovní,879,číslo popisné,1000158047,685154
Číslo orientační,11,,1000158047,685154
Typ adresy,1,Hlavní adresa,1000158047,685154
Zadní vchod,0,ne,1000158047,685154
Identifikátor adresy RSO (IDADR),30000520578,,1000158047,685154
Identifikátor adresy ISEO (PČD),2471424,,1000158047,685154
Identifikátor adresy RÚIAN,21947538,,1000158047,685154
Okres,40924,Praha,1000158381,220095
Městský obvod Prahy,43,Praha 4,1000158381,220095
Obec,554782,Praha,1000158381,220095
Část obce,490156,Nusle,1000158381,220095
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158381,220095
PSČ a adresní pošta,14000,Praha 4,1000158381,220095
Ulice,458651,Na Pankráci,1000158381,220095
Číslo domovní,947,číslo popisné,1000158381,220095
Číslo orientační,24,,1000158381,220095
Typ adresy,1,Hlavní adresa,1000158381,220095
Zadní vchod,0,ne,1000158381,220095
Identifikátor adresy RSO (IDADR),30000522601,,1000158381,220095
Identifikátor adresy ISEO (PČD),2471489,,1000158381,220095
Identifikátor adresy RÚIAN,21947864,,1000158381,220095
Okres,40924,Praha,1000158616,220116
Městský obvod Prahy,43,Praha 4,1000158616,220116
Obec,554782,Praha,1000158616,220116
Část obce,490156,Nusle,1000158616,220116
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158616,220116
PSČ a adresní pošta,14000,Praha 4,1000158616,220116
Ulice,471577,Štětkova,1000158616,220116
Číslo domovní,1001,číslo popisné,1000158616,220116
Číslo orientační,5,,1000158616,220116
Typ adresy,1,Hlavní adresa,1000158616,220116
Zadní vchod,0,ne,1000158616,220116
Identifikátor adresy RSO (IDADR),30000522805,,1000158616,220116
Identifikátor adresy ISEO (PČD),NA,,1000158616,220116
Identifikátor adresy RÚIAN,31177778,,1000158616,220116
Okres,40924,Praha,1000158624,220117
Městský obvod Prahy,43,Praha 4,1000158624,220117
Obec,554782,Praha,1000158624,220117
Část obce,490156,Nusle,1000158624,220117
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000158624,220117
PSČ a adresní pošta,14000,Praha 4,1000158624,220117
Ulice,471577,Štětkova,1000158624,220117
Číslo domovní,1002,číslo popisné,1000158624,220117
Číslo orientační,3,,1000158624,220117
Typ adresy,1,Hlavní adresa,1000158624,220117
Zadní vchod,0,ne,1000158624,220117
Identifikátor adresy RSO (IDADR),30000522813,,1000158624,220117
Identifikátor adresy ISEO (PČD),2471517,,1000158624,220117
Identifikátor adresy RÚIAN,21948097,,1000158624,220117
Okres,40924,Praha,1000163466,220532
Městský obvod Prahy,43,Praha 4,1000163466,220532
Obec,554782,Praha,1000163466,220532
Část obce,490156,Nusle,1000163466,220532
