Údaj,Hodnota,Kód,Text,url,budid,idob
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Způsob vytápění budovy:,NA,4,jiné (i bez topení),buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Druh plynu:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet evidovaných obyvatel v budově:,NA,4,6 - 9,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet nadzemních podlaží domu dle SLDB:,NA,5,5 podlaží,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Druh vlastníka domu dle SLDB:,NA,1,Fyzická osoba,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Způsob vytápění domu dle SLDB:,NA,8,Bez ústředního topení,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,4,6 - 9,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,4,6 - 9,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Druh vlastníka budovy:,NA,3,obec,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Počet všech podlaží budovy:,1,1,1 podlaží,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Počet bytů v budově (vchodu):,35,10,30-49 bytů,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Vybavení budovy výtahem:,NA,1,s výtahem,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Způsob vytápění budovy:,NA,9,nezjištěno,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Druh plynu:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Počet evidovaných obyvatel v budově:,NA,13,80-89,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Počet nadzemních podlaží domu dle SLDB:,NA,6,6-8 podlaží,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Druh vlastníka domu dle SLDB:,NA,12,Obec,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Způsob vytápění domu dle SLDB:,NA,99,Nezjištěno,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211886&idob=1000056473&b=0,211886,1000056473
